created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-10-29T13:58:17+00:00,68,211.60,0.11,50.00,16.70,0.09,0.70,,,,
2025-10-29T13:58:38+00:00,69,212.20,0.11,50.00,16.70,0.09,0.70,,,,
2025-10-29T13:59:02+00:00,70,212.50,0.11,50.00,16.80,0.09,0.69,,,,
2025-10-29T13:59:23+00:00,71,212.40,0.11,50.00,16.80,0.09,0.69,,,,
2025-10-29T13:59:49+00:00,72,212.60,0.11,50.00,16.80,0.09,0.69,,,,
2025-10-29T14:00:09+00:00,73,212.20,0.11,50.00,16.90,0.09,0.70,,,,
2025-10-29T14:00:31+00:00,74,212.70,0.11,50.00,16.80,0.09,0.69,,,,
2025-10-29T14:00:52+00:00,75,212.90,0.12,50.00,17.00,0.09,0.69,,,,
2025-10-29T14:01:09+00:00,76,213.40,0.12,50.00,17.00,0.09,0.69,,,,
2025-10-29T14:01:25+00:00,77,204.10,3.29,50.00,671.20,0.09,1.00,,,,
2025-10-29T14:01:49+00:00,78,203.90,3.27,50.00,666.50,0.09,1.00,,,,
2025-10-29T14:02:04+00:00,79,204.10,3.27,50.00,666.60,0.10,1.00,,,,
2025-10-29T14:02:29+00:00,80,204.00,3.26,50.00,663.50,0.10,1.00,,,,
2025-10-29T14:02:49+00:00,81,205.00,3.26,50.00,668.30,0.10,1.00,,,,
2025-10-29T14:03:14+00:00,82,204.80,3.26,50.00,666.00,0.11,1.00,,,,
2025-10-29T14:03:40+00:00,83,204.90,3.25,50.00,666.00,0.11,1.00,,,,
2025-10-29T14:04:01+00:00,84,204.30,3.24,50.00,661.40,0.12,1.00,,,,
2025-10-29T14:04:29+00:00,85,204.60,3.24,50.00,663.30,0.12,1.00,,,,
2025-10-29T14:04:58+00:00,86,204.90,3.24,50.00,664.30,0.13,1.00,,,,
2025-10-29T14:05:26+00:00,87,205.60,3.25,50.00,668.40,0.13,1.00,,,,
2025-10-29T14:05:46+00:00,88,205.40,3.25,50.00,666.40,0.14,1.00,,,,
2025-10-29T14:06:08+00:00,89,204.90,3.24,50.00,663.40,0.14,1.00,,,,
2025-10-29T14:06:30+00:00,90,206.00,3.26,50.00,670.10,0.15,1.00,,,,
2025-10-29T14:06:53+00:00,91,205.50,3.25,50.00,666.40,0.15,1.00,,,,
2025-10-29T14:07:08+00:00,92,204.70,3.23,49.90,661.00,0.15,1.00,,,,
2025-10-29T14:07:29+00:00,93,204.90,3.24,50.00,662.90,0.16,1.00,,,,
2025-10-29T14:07:52+00:00,94,205.90,3.25,49.90,668.60,0.16,1.00,,,,
2025-10-29T14:08:08+00:00,95,205.50,3.24,49.90,666.20,0.16,1.00,,,,
2025-10-29T14:08:26+00:00,96,206.70,3.26,49.90,673.50,0.17,1.00,,,,
2025-10-29T14:08:53+00:00,97,207.30,3.27,49.90,677.30,0.17,1.00,,,,
2025-10-29T14:09:12+00:00,98,207.50,3.27,50.00,678.60,0.18,1.00,,,,
2025-10-29T14:09:41+00:00,99,207.20,3.27,50.00,676.20,0.18,1.00,,,,
